PERMNO,date,prc
57665,20030424,53.06
57665,20030425,52.22
57665,20030428,53.97
57665,20030429,54.27
57665,20030430,53.53
57665,20030501,52.71
57665,20030502,53.64
57665,20030505,52.75
57665,20030506,54.23
57665,20030507,54.12
57665,20030508,53.37
57665,20030509,54.05
57665,20030512,54.47
57665,20030513,54.75
57665,20030514,53.95
57665,20030515,53.88
57665,20030516,52.86
57665,20030519,52.27
57665,20030520,52.54
57665,20030521,51.85
57665,20030522,52.24
57665,20030523,51.84
57665,20030527,53.9
57665,20030528,54.62
57665,20030529,54.74
57665,20030530,55.99
57665,20030602,55.97
57665,20030603,54.75
57665,20030604,55.88
57665,20030605,55.74
57665,20030606,55.45
57665,20030609,55.28
57665,20030610,55.91
57665,20030611,55.3
57665,20030612,55.2
57665,20030613,54.55
57665,20030616,55
57665,20030617,55.67
57665,20030618,56.13
57665,20030619,56.32
57665,20030620,56.02
57665,20030623,55.37
57665,20030624,56.63
57665,20030625,56.9
57665,20030626,56.93
57665,20030627,53.08
57665,20030630,53.49
57665,20030701,53.88
57665,20030702,53.85
57665,20030703,53.51
57665,20030707,53.88
57665,20030708,53.71
57665,20030709,53
57665,20030710,53.66
57665,20030711,53.63
57665,20030714,53.7
57665,20030715,53.09
57665,20030716,53.06
57665,20030717,52.24
57665,20030718,52
57665,20030721,51.1
57665,20030722,51.45
57665,20030723,51.97
57665,20030724,52.5
57665,20030725,52.68
57665,20030728,51.98
57665,20030729,51.79
57665,20030730,51.26
57665,20030731,51.74
57665,20030801,50.7
57665,20030804,50.62
57665,20030805,49.79
57665,20030806,49.7
57665,20030807,50.6
57665,20030808,52.81
57665,20030811,52.78
57665,20030812,53.73
57665,20030813,54.38
57665,20030814,54.8
57665,20030815,55.25
57665,20030818,55.08
57665,20030819,54.65
57665,20030820,54.33
57665,20030821,55.19
57665,20030822,54.7
57665,20030825,55.25
57665,20030826,55.42
57665,20030827,55.67
57665,20030828,56.12
57665,20030829,56.98
57665,20030902,57.48
57665,20030903,57.24
57665,20030904,56.8
57665,20030905,56.29
57665,20030908,56.85
57665,20030909,56.28
57665,20030910,55.39
57665,20030911,55.79
57665,20030912,55.68
57665,20030915,56.35
57665,20030916,56.56
57665,20030917,57.12
57665,20030918,57.25
57665,20030919,61.5
57665,20030922,61.28
57665,20030923,61.12
57665,20030924,60.85
57665,20030925,60.4
57665,20030926,60.85
57665,20030929,60.98
57665,20030930,60.82
57665,20031001,61.87
57665,20031002,62.39
57665,20031003,63.1
57665,20031006,62.81
57665,20031007,63.56
57665,20031008,63.98
57665,20031009,63.92
57665,20031010,63.26
57665,20031013,64.34
57665,20031014,64.45
57665,20031015,64.54
57665,20031016,64.65
57665,20031017,63.87
57665,20031020,63.85
57665,20031021,63.57
57665,20031022,62.62
57665,20031023,62.8
57665,20031024,62.03
57665,20031027,62.25
57665,20031028,63.8
57665,20031029,63.27
57665,20031030,63.11
57665,20031031,63.9
57665,20031103,63.91
57665,20031104,63.55
57665,20031105,63.26
57665,20031106,62.68
57665,20031107,63
57665,20031110,62.05
57665,20031111,61.92
57665,20031112,61.96
57665,20031113,61.84
57665,20031114,61.8
57665,20031117,61.8
57665,20031118,61.83
57665,20031119,61.19
57665,20031120,62.6
57665,20031121,63.31
57665,20031124,64.67
57665,20031125,67.17
57665,20031126,67.35
57665,20031128,67.25
57665,20031201,67.85
57665,20031202,67.2
57665,20031203,66
57665,20031204,65.26
57665,20031205,65.54
57665,20031208,65.58
57665,20031209,64.89
57665,20031210,64.06
57665,20031211,64.69
57665,20031212,64.42
57665,20031215,64.22
57665,20031216,65.11
57665,20031217,66.01
57665,20031218,66.8
57665,20031219,66.93
57665,20031222,67.3
57665,20031223,67.65
57665,20031224,67.53
57665,20031226,67.85
57665,20031229,67.84
57665,20031230,68.06
57665,20031231,68.46
57665,20040102,67.61
57665,20040105,67.55
57665,20040106,67.49
57665,20040107,67.72
57665,20040108,68.4
57665,20040109,67.87
57665,20040112,68.85
57665,20040113,69.1
57665,20040114,69.18
57665,20040115,69.05
57665,20040116,69.36
57665,20040120,69.86
57665,20040121,70.47
57665,20040122,69.67
57665,20040123,69.58
57665,20040126,69.9
57665,20040127,69.61
57665,20040128,68.63
57665,20040129,68.53
57665,20040130,69.66
57665,20040202,70.25
57665,20040203,70.05
57665,20040204,70.69
57665,20040205,70.73
57665,20040206,71.06
57665,20040209,71.67
57665,20040210,72.24
57665,20040211,73.2
57665,20040212,72.36
57665,20040213,72.32
57665,20040217,73
57665,20040218,72.44
57665,20040219,72.4
57665,20040220,71.66
57665,20040223,72.6
57665,20040224,74.26
57665,20040225,74.37
57665,20040226,73.9
57665,20040227,73.25
57665,20040301,73.53
57665,20040302,73.86
57665,20040303,73.83
57665,20040304,74.72
57665,20040305,74.83
57665,20040308,74.49
57665,20040309,76.66
57665,20040310,76.65
57665,20040311,74.68
57665,20040312,74.8
57665,20040315,74.4
57665,20040316,75.11
57665,20040317,76.15
57665,20040318,76.82
57665,20040319,76.87
57665,20040322,76.58
57665,20040323,76.3
57665,20040324,76.6
57665,20040325,76.48
57665,20040326,76.25
57665,20040329,76.6
57665,20040330,76.82
57665,20040331,77.87
57665,20040401,76.39
57665,20040402,76.64
57665,20040405,78.08
57665,20040406,77.39
57665,20040407,76.75
57665,20040408,76.77
57665,20040412,77.24
57665,20040413,76.38
57665,20040414,75.81
57665,20040415,75.59
57665,20040416,75.91
57665,20040419,76.32
57665,20040420,75.75
57665,20040421,75.45
57665,20040422,75.67
57665,20040423,75.17
57665,20040426,73.54
57665,20040427,74.45
57665,20040428,73.61
57665,20040429,72.14
57665,20040430,71.95
57665,20040503,71.08
57665,20040504,70.45
57665,20040505,70.75
57665,20040506,68.35
57665,20040507,66.57
57665,20040510,66.4
57665,20040511,67.54
57665,20040512,68
57665,20040513,68.15
57665,20040514,67.69
57665,20040517,66.05
57665,20040518,66.5
57665,20040519,66.54
57665,20040520,66.43
57665,20040521,67.48
57665,20040524,68.95
57665,20040525,70.65
57665,20040526,70.89
57665,20040527,70.94
57665,20040528,71.15
57665,20040601,71.03
57665,20040602,70.64
57665,20040603,70.2
57665,20040604,69.28
57665,20040607,70.31
57665,20040608,70.48
57665,20040609,70.5
57665,20040610,71.25
57665,20040614,71.23
57665,20040615,71.68
57665,20040616,71.92
57665,20040617,71.8
57665,20040618,71.62
57665,20040621,71.19
57665,20040622,71.7
57665,20040623,72.29
57665,20040624,72.4
57665,20040625,75.31
57665,20040628,75.9
57665,20040629,75.38
57665,20040630,75.75
57665,20040701,75.29
